hour	cpm	publisher	user_id
8	30.0	1	26577
12	105.0	1	15825
19	250.68	1	26175
9	44.0	1	13311
9	158.93	1	2281
9	43.8	1	24583
9	68.91	8	15848
11	30.99	1	26815
20	30.0	1	7739
22	90.0	1	24555
9	87.73	1	8141
10	65.0	2	7337
10	61.3	1	20475
22	170.0	2	11982
19	80.68	2	26277
19	30.0	1	23170
6	155.0	1	9645
6	170.0	1	104
21	32.92	1	11698
16	253.22	4	11510
16	45.0	2	15710
21	60.0	7	15449
10	80.0	2	8135
20	155.0	2	23681
7	135.0	2	8277
18	174.2	1	16846
20	435.0	1	5203
20	159.27	2	15090
13	42.64	7	26326
15	39.0	2	9064
21	120.0	1	18
11	170.0	2	26216
8	51.0	3	14301
22	61.0	2	3386
12	470.0	2	18336
19	32.28	1	15862
13	356.25	2	16565
14	45.0	1	24759
11	30.0	1	16734
4	165.0	1	23703
12	114.36	2	8712
22	169.65	1	16325
19	30.0	3	26159
6	124.0	2	20600
11	105.18	1	27096
15	150.0	1	7871
22	43.95	1	24555
8	37.06	1	5504
3	65.29	2	11176
6	60.0	1	12153
8	63.0	1	1017
21	350.0	2	16788
19	30.0	1	9757
14	67.5	2	2910
18	720.0	1	1047
4	112.0	1	12032
10	54.97	1	12554
16	330.38	7	21188
15	130.0	1	13193
19	30.0	1	24732
3	274.59	2	19695
18	50.0	2	19108
18	80.0	2	24791
13	45.0	2	22860
17	30.0	1	22307
17	415.95	3	5936
14	300.0	1	26374
16	150.0	1	21158
8	138.03	1	11441
7	70.0	1	16903
14	199.2	1	21199
11	55.0	2	8318
4	210.0	7	19978
7	45.26	1	2587
7	257.31	3	17398
23	35.0	2	2570
19	531.94	2	25860
13	35.13	3	22113
14	30.0	1	19683
15	173.32	1	13731
23	60.0	1	18792
6	90.0	1	15427
16	30.0	1	1262
9	70.75	1	9958
20	390.0	1	19241
7	120.0	1	2956
23	30.0	1	25688
13	135.0	1	23479
17	904.42	3	27339
12	51.28	7	9449
17	371.26	1	8822
8	690.0	7	19584
10	195.48	7	22090
8	220.0	9	27644
22	372.96	1	3940
22	70.0	7	25630
22	31.28	1	25947
4	276.0	2	21673
17	717.0	1	993
18	45.66	2	4905
13	30.0	2	9939
11	207.82	3	4763
16	75.0	1	26978
22	60.0	2	8875
12	291.63	1	14341
5	150.0	1	12032
3	180.0	2	3226
21	35.68	1	1110
19	75.0	2	19187
14	168.0	1	6626
21	143.12	2	5317
22	53.2	2	11261
8	74.72	2	27351
11	250.0	7	15333
15	225.72	7	951
19	106.65	1	25833
18	373.23	1	5645
11	30.0	1	27243
8	162.0	1	2460
4	106.61	1	1218
9	507.5	2	5425
11	117.5	1	6035
13	30.88	1	972
5	30.0	1	26447
19	330.0	1	15121
19	30.24	1	23659
21	102.63	1	9853
20	161.22	10	22693
20	284.82	1	7974
20	607.78	7	957
14	98.46	2	428
23	30.0	1	2436
9	237.0	2	22240
11	210.0	1	20866
8	167.5	2	22775
23	180.0	1	22772
15	72.73	3	27339
7	92.52	1	23803
10	105.0	1	24
7	333.0	1	13732
16	169.65	1	26534
16	110.0	1	25234
9	180.0	3	21986
9	45.0	1	8341
15	72.96	2	9498
23	42.13	1	9541
3	62.91	1	12942
21	44.65	3	10541
18	120.0	1	13669
10	115.0	1	11396
3	30.0	11	14534
21	90.0	1	6051
22	33.08	1	27720
13	37.09	1	6802
9	120.0	2	21957
6	210.68	2	21906
17	30.0	1	13256
14	55.0	1	19683
22	4091.38	7	14669
13	64.97	1	7405
10	60.0	2	13338
12	48.08	1	2508
16	39.76	1	23725
21	75.84	2	11982
18	531.96	1	4504
12	125.8	9	2378
20	80.0	1	1469
20	165.0	2	2085
21	49.71	1	24583
12	44.92	1	8066
3	30.0	1	8890
22	46.5	1	1003
10	50.0	1	7871
14	68.0	1	8137
12	30.0	2	8712
10	84.0	1	27475
18	158.48	2	13905
18	130.78	1	19873
19	300.6	1	16339
19	288.62	7	6939
18	30.0	2	7754
11	100.0	1	20799
5	31.7	1	11693
18	205.0	7	22877
21	401.55	1	20276
5	73.52	12	12247
19	304.17	1	14210
22	30.0	1	27417
9	60.0	2	26147
16	60.0	1	26981
22	30.0	2	3386
19	307.73	2	14174
10	60.0	1	1359
7	212.97	7	6510
8	165.0	1	1
5	30.0	1	16436
8	36.79	10	7368
13	240.0	1	20294
5	90.0	13	337
20	268.4	2	399
20	37.5	1	3245
19	180.0	2	6224
18	139.75	3	10284
12	70.0	2	22030
23	30.0	2	3587
6	104.31	3	12767
16	37.0	1	24120
23	30.16	2	8320
16	258.64	7	8365
10	75.6	1	8282
20	90.0	2	26154
15	78.66	1	27720
7	60.0	1	24910
19	915.14	7	6251
18	47.0	1	8303
18	34.2	1	3016
21	103.39	1	25928
13	30.0	2	14570
3	48.57	4	26622
19	30.0	1	8765
11	30.0	1	25407
16	51.26	2	11586
16	49.94	1	8339
22	50.0	1	8781
18	874.05	3	18679
15	130.0	1	17659
20	50.0	1	19527
17	30.0	1	16056
22	36.96	1	11680
11	138.6	1	14588
4	278.96	1	17183
19	162.0	1	1047
15	32.0	3	18310
3	30.0	2	8525
16	109.52	1	985
16	81.0	1	12631
15	91.0	5	5612
6	159.06	1	1745
20	41.01	1	5395
13	50.0	1	8175
11	132.0	1	9228
8	30.0	1	9645
19	90.0	1	4751
19	30.0	1	5868
17	51.8	1	2928
9	300.0	1	12362
16	50.1	1	23065
15	37.5	1	21570
19	75.0	1	22908
15	150.0	1	11405
12	210.57	3	26540
16	30.0	2	8321
11	292.5	1	24670
22	303.33	1	16325
10	70.0	1	20197
6	92.5	3	6332
15	142.5	2	10951
6	62.16	3	8495
11	155.7	1	27523
19	180.0	7	17765
17	40.53	1	1602
14	30.0	1	2566
10	135.0	7	5546
14	37.5	2	6448
12	454.92	1	12338
12	282.58	1	13732
12	51.0	7	22673
7	55.0	1	7610
7	63.03	2	20979
21	43.7	2	12565
18	90.0	1	24044
16	71.6	2	4996
15	227.42	3	14368
10	225.08	1	20546
13	186.77	2	14570
20	246.06	2	7965
20	330.0	2	12961
20	957.5	6	15897
8	228.48	1	23967
18	216.0	3	4580
19	229.92	1	726
16	83.89	1	11801
12	1600.2	2	23330
22	30.0	3	16617
4	565.92	1	1410
14	90.0	1	11996
16	191.98	7	4166
8	363.0	7	19094
18	323.02	1	17145
4	120.0	1	7161
17	101.3	1	23953
14	270.0	2	19484
12	221.5	1	13284
12	42.5	1	7890
15	170.0	1	23220
23	150.0	2	4084
23	30.0	3	18741
9	276.0	1	12903
6	80.0	1	4282
5	106.86	1	18841
19	55.0	1	24571
19	30.0	2	15021
11	535.17	1	26622
17	272.0	2	24572
7	39.23	2	16549
22	50.0	1	25179
21	479.76	1	10099
13	60.0	1	18079
8	105.0	2	20916
18	285.96	2	19154
22	180.0	1	20379
22	95.2	2	17486
19	80.28	3	26303
19	40.65	1	13961
15	420.84	2	20449
19	61.72	7	14436
18	75.0	1	20585
6	127.5	3	9445
11	130.0	1	18238
11	45.0	2	624
21	30.0	1	25942
9	60.0	7	7699
9	43.05	1	13966
8	146.96	1	12908
23	112.44	1	17590
16	300.0	1	24880
14	1239.32	7	23528
11	211.84	1	4117
22	120.0	1	849
13	30.0	1	9782
10	154.42	2	19013
21	130.0	1	4932
21	80.0	1	19790
5	70.0	1	10315
22	200.0	2	18651
22	70.0	2	21092
8	63.69	2	9058
5	70.32	1	9982
17	43.1	2	26999
14	152.46	7	1195
18	40.06	1	3245
15	420.0	2	3136
21	52.5	2	27366
14	301.3	1	26101
22	40.0	1	2566
22	33.78	2	5317
13	80.0	1	26806
13	48.66	8	22206
13	240.0	1	18280
22	54.32	1	6132
22	125.13	2	10268
12	30.0	3	8171
12	105.0	1	8870
11	120.0	1	5868
7	45.0	1	22868
17	330.0	2	7785
14	40.0	1	19377
18	132.0	1	8646
6	30.0	2	21858
22	55.68	9	10749
21	40.0	1	21372
19	181.2	1	27058
8	38.74	1	22385
7	388.88	2	7765
5	30.0	1	9909
9	56.62	1	12148
8	411.36	1	16846
10	48.01	2	15694
20	30.0	2	9834
7	205.0	2	1331
12	195.0	2	19004
9	237.0	3	15640
10	60.0	2	5845
14	330.0	6	19136
13	355.02	1	11383
13	82.5	1	11132
14	70.0	1	7871
16	30.0	1	16603
15	50.0	2	19342
21	50.0	1	14000
23	50.0	2	2013
19	90.0	1	17395
13	59.22	2	8541
7	50.0	1	6669
15	390.0	1	6312
20	330.0	7	27595
6	30.0	2	26296
22	32.04	1	16236
20	30.0	1	23674
23	30.0	1	9717
13	750.0	1	18608
7	98.96	3	20599
10	63.1	2	11322
22	155.58	2	11272
4	90.0	2	13850
15	170.89	5	22949
16	455.0	6	5454
22	77.04	1	4682
8	50.3	1	7648
14	90.0	1	15186
3	1010.19	1	22058
3	71.83	1	8765
17	48.3	1	9211
3	31.41	7	21848
17	153.95	2	6780
20	30.0	2	20045
6	30.0	1	22208
17	168.7	1	7695
8	89.4	3	24012
6	939.87	1	16987
7	52.5	1	11794
6	217.91	2	10918
16	228.0	1	14148
6	153.79	1	20382
22	581.58	1	6653
21	248.5	1	22539
19	72.23	1	11138
19	31.0	1	8996
15	105.0	7	9278
22	30.0	1	6839
21	59.2	1	7593
21	170.0	1	21862
23	74.86	1	3900
19	56.04	2	11586
19	190.0	1	24877
22	350.0	7	18901
14	39.26	2	13411
9	250.0	1	5105
13	234.18	7	23008
18	70.0	1	23858
21	33.0	6	589
20	991.3	2	22639
21	190.12	1	3787
20	37.5	1	19935
20	129.0	2	8321
18	104.6	1	19714
18	32.0	2	1836
3	1546.04	2	26111
10	300.1	1	25626
21	60.33	1	23467
21	210.0	1	4614
8	247.68	1	26655
16	170.0	1	6106
18	31.83	1	4909
17	110.0	7	12754
14	33.0	2	17698
3	30.0	7	21848
15	170.0	1	6350
7	46.89	1	18756
11	43.62	1	14831
14	135.0	7	8277
10	195.96	2	13921
13	117.5	1	18880
19	230.0	3	5151
10	60.0	2	26440
16	86.12	3	8589
11	34.5	2	24791
11	55.0	1	7099
8	30.15	2	9663
10	34.69	1	11895
11	318.57	1	1103
12	210.0	1	13139
18	86.2	1	9975
22	210.0	1	20786
22	90.0	1	2884
22	45.0	2	428
16	95.22	3	16433
7	403.35	2	18599
7	276.0	2	5398
5	690.0	2	18927
20	111.95	1	26620
20	44.09	1	14563
8	240.0	1	26932
17	75.0	1	4792
8	145.57	1	18677
10	90.0	2	18648
5	48.21	2	13187
6	102.0	1	6284
3	210.0	1	19203
21	205.0	1	15084
10	341.96	2	23878
15	120.0	1	10258
17	157.5	2	10889
14	220.0	12	5729
14	55.0	1	5868
19	150.0	2	1783
20	60.0	2	9939
15	46.85	1	6404
5	90.0	1	6622
15	701.07	7	2557
20	540.0	2	12980
21	76.92	11	10718
19	230.0	2	21084
7	117.2	1	12569
10	82.5	2	2911
21	60.96	2	11935
19	85.4	1	18731
23	77.46	2	7785
5	93.0	1	7887
16	31.5	3	5822
22	866.73	1	6669
17	48.82	2	9256
17	35.0	1	16595
13	450.0	7	16399
12	315.52	1	16291
19	212.42	1	17614
16	30.0	1	17286
16	135.0	2	5649
15	80.94	1	19198
5	100.0	1	1113
11	74.94	1	19217
16	390.0	2	8664
7	70.62	1	19771
8	255.0	1	7571
11	30.0	1	9413
11	255.0	1	21603
20	32.0	1	27221
21	210.0	7	21580
19	50.49	2	8423
14	35.0	1	16734
23	60.0	2	6359
15	55.5	1	24960
8	34.5	1	3171
23	40.0	1	18880
14	30.0	1	23150
14	105.0	1	14082
10	130.0	1	15554
11	30.0	1	3859
16	117.5	1	26938
22	80.0	1	783
6	156.24	1	11045
12	111.0	1	6647
17	30.0	1	22307
16	130.0	1	2920
16	80.0	2	3780
13	62.25	2	25093
18	30.66	1	8307
14	150.0	1	21142
9	62.5	1	20402
23	80.0	2	21000
23	42.5	2	16833
8	160.83	1	20709
21	110.86	2	9256
9	168.62	2	26216
19	84.15	1	16094
18	30.0	1	21818
22	423.88	1	6988
20	52.5	11	16576
17	153.28	3	6945
20	93.0	1	5667
21	32.5	2	2814
6	33.16	10	1873
16	487.34	2	20964
17	189.27	1	26351
14	30.0	2	25974
14	39.9	1	9951
18	200.0	1	21522
13	90.0	7	1246
11	30.0	1	11843
16	232.95	7	7344
5	90.0	1	23079
7	50.0	1	4553
7	80.1	2	26038
18	40.2	1	3648
21	58.79	1	15145
20	30.0	1	7546
19	40.0	1	17762
20	30.0	2	27469
9	84.0	1	13145
19	106.72	1	5343
11	360.0	3	19782
16	110.0	1	22521
16	322.5	1	21953
8	31.08	2	23411
12	31.78	1	11843
13	214.4	2	16408
18	170.0	1	8646
13	90.0	1	17976
10	30.0	1	20767
23	30.0	2	9939
18	370.0	1	1561
10	50.0	6	16673
10	90.0	1	26365
23	81.98	1	25483
9	41.66	2	6712
11	33.51	1	11113
20	30.0	1	2355
12	90.84	1	20090
12	100.96	1	5836
17	30.0	7	7531
19	175.22	1	3435
10	45.0	1	13122
9	90.0	1	12903
5	110.64	2	23217
13	35.17	1	20593
14	65.65	1	8570
17	38.64	1	16156
23	997.35	1	23114
7	104.43	1	2904
7	74.36	1	3550
8	300.0	7	21188
23	105.0	1	24938
23	30.0	2	20719
11	34.0	1	11698
22	30.0	1	10579
17	30.0	1	11520
17	103.8	2	18456
21	90.0	1	10382
19	113.94	1	104
6	150.0	1	14253
5	37.5	3	5212
16	2170.23	1	13789
10	744.0	2	5357
11	69.93	8	10551
23	35.24	1	27397
11	50.0	7	9776
11	142.41	1	23725
11	254.62	1	9639
6	210.0	2	16683
22	30.0	1	26426
7	75.95	2	15400
22	51.56	5	18516
19	35.0	1	10344
22	300.0	2	11620
18	30.0	1	27673
18	42.5	1	13712
13	480.0	3	10088
14	170.0	2	16375
22	219.18	1	3262
20	321.88	1	1437
17	75.0	1	22043
8	30.0	2	21365
22	690.0	1	3340
19	580.0	1	2355
11	30.02	1	17889
4	30.0	1	27522
17	30.0	1	12348
11	487.28	1	10293
8	95.78	2	27224
10	56.07	7	27557
7	255.0	1	13182
10	64.1	1	12306
9	120.0	1	8767
22	702.14	1	19014
16	67.11	7	7535
12	547.8	2	7308
14	30.0	1	21118
14	81.6	1	24851
16	96.0	1	20891
20	194.32	2	26344
20	90.0	2	3605
22	240.0	1	1323
9	30.0	7	23189
7	60.0	2	4092
14	30.0	1	3879
21	155.0	2	2708
8	61.56	1	17741
15	172.8	1	19770
19	37.13	2	8423
22	57.94	2	2013
8	105.0	1	14319
17	30.0	1	6805
9	162.0	1	23726
14	529.45	1	27389
22	200.7	1	5397
22	39.81	1	21586
7	112.0	2	18683
15	30.0	7	13601
7	92.05	1	24843
8	332.1	1	15217
19	255.0	1	22083
16	285.0	1	4417
15	574.78	2	16776
11	30.0	7	10931
16	390.0	1	19751
16	60.02	3	19978
18	198.0	1	25452
23	130.0	6	18924
12	165.0	3	13954
13	435.0	3	23283
7	35.3	2	20920
17	30.0	3	24691
12	30.0	2	17328
12	30.0	3	8171
10	46.62	1	2682
10	840.0	1	10870
15	179.7	1	1195
10	130.0	1	14253
8	135.0	1	14876
4	72.05	7	24307
7	840.0	1	3550
19	48.36	3	5683
13	634.11	2	13457
17	32.0	1	22045
9	55.0	2	14839
9	150.0	2	7308
20	173.31	1	19776
21	110.0	1	13745
7	167.5	2	17486
7	114.0	1	3170
16	110.0	3	8589
20	153.16	1	951
16	50.62	9	19214
15	52.11	1	18903
22	30.0	6	26171
20	320.34	2	19085
21	37.5	1	6750
14	367.8	1	10354
20	41.78	2	19141
17	39.47	9	7919
10	527.5	1	25051
5	359.88	1	21589
23	30.0	7	8659
15	142.68	2	21604
8	31.62	1	21105
7	235.0	1	17189
15	30.52	1	17741
17	70.0	1	3001
14	30.0	1	21949
23	113.6	1	13452
14	151.76	2	25144
8	160.72	1	14514
20	384.69	2	26649
11	30.02	2	4776
22	30.0	7	18615
23	30.0	1	26091
13	135.66	1	26620
19	375.0	7	5336
19	45.0	1	9831
9	45.0	2	3823
11	55.08	1	4706
12	105.0	12	26219
12	116.58	1	24705
10	30.0	1	4309
12	49.4	1	11092
9	102.0	1	7567
22	204.98	1	7752
8	237.78	1	26921
8	227.88	1	5211
19	1377.21	2	27408
12	55.0	3	14942
13	31.5	7	642
21	50.0	2	27468
19	31.0	2	8187
6	30.0	1	8056
20	209.52	1	7321
20	70.0	1	16778
7	379.0	1	1401
20	41.6	9	22747
22	30.0	1	11552
22	30.0	1	15600
12	70.0	2	21012
19	52.17	1	27720
12	160.32	1	16506
7	80.0	1	22932
3	300.0	1	22151
21	90.0	2	18199
22	30.0	1	10824
8	90.0	1	9376
21	31.7	2	4831
15	628.22	1	17416
14	54.9	1	23153
10	110.0	2	20163
11	180.0	1	21027
5	255.0	1	18863
13	255.42	1	12856
13	200.0	1	15590
12	142.09	1	19203
12	80.0	1	8971
19	105.0	1	15348
20	140.46	1	25593
11	60.0	1	20475
11	300.04	2	12468
20	32.0	7	23176
16	60.0	1	635
14	52.5	2	581
14	142.34	1	8066
23	205.5	1	8607
23	30.0	1	9717
15	60.0	2	7331
20	80.0	1	19672
20	144.7	2	15641
20	45.0	2	1065
13	210.0	3	5998
17	503.33	2	21097
9	45.56	1	25495
23	38.46	1	10263
17	510.0	2	16950
11	120.0	2	25014
23	90.0	1	24904
23	390.0	2	9056
13	470.0	7	13508
11	390.0	1	8869
19	180.0	1	6453
7	130.0	2	26736
7	31.56	1	26427
21	80.0	1	14832
14	30.0	1	13155
7	152.67	1	27616
21	80.0	2	4520
21	75.0	1	17188
10	73.88	7	20486
23	30.0	1	2005
15	90.0	1	6059
19	129.0	1	10530
18	149.32	1	6656
16	30.0	7	17869
15	80.0	1	16055
12	40.0	1	563
20	54.16	3	20599
5	130.0	1	26840
9	60.0	2	6054
13	393.24	1	1914
13	672.0	7	9771
21	45.0	2	18694
13	30.0	3	6033
19	70.41	1	3335
15	252.64	2	2933
8	1660.56	1	16506
7	86.67	2	16833
13	30.0	1	10472
17	90.0	2	19013
17	30.0	2	15272
11	196.5	7	15641
15	120.8	1	149
13	80.8	1	3140
13	514.22	1	16714
12	83.46	1	19833
7	37.5	2	16008
10	53.28	1	13295
11	67.5	1	25273
21	90.0	1	14564
13	40.0	1	14504
17	128.7	2	26383
10	31.0	1	7521
7	257.01	1	21573
16	150.0	3	11818
21	170.0	1	4614
14	100.88	2	27239
9	60.0	1	21152
19	70.22	1	22908
9	60.0	1	24151
12	79.4	1	18179
12	50.64	1	10596
12	83.3	2	1508
12	80.0	2	479
12	210.0	2	15473
11	130.0	1	23615
11	60.0	2	26216
22	37.78	1	7885
17	328.56	1	23467
9	30.0	1	17801
10	342.0	7	21137
11	205.0	2	5037
8	135.12	1	5278
10	75.0	14	23277
10	234.38	2	25545
8	160.0	1	16055
15	40.0	1	23458
7	470.0	1	3679
20	120.85	1	3638
21	180.0	1	11108
11	627.0	2	19118
17	30.0	12	23323
14	50.0	3	7506
19	372.09	8	23259
21	232.5	1	15639
19	120.0	1	20294
12	37.53	2	15850
23	80.0	2	25767
4	369.0	1	7698
17	120.0	1	13252
17	30.0	1	17928
14	30.0	7	24477
6	60.0	1	6875
9	66.3	1	2117
11	30.0	1	5302
11	180.27	7	23046
12	690.0	2	4613
13	48.92	2	9563
19	240.0	1	21778
8	75.3	2	9429
23	120.0	1	3134
23	36.61	3	18741
20	30.0	1	18851
10	216.9	1	8231
11	110.0	1	12619
18	52.54	1	24084
19	266.45	1	2235
14	60.0	2	19195
11	30.0	1	24624
18	220.0	2	11208
13	30.0	3	23583
14	135.0	1	25679
12	64.7	1	14790
22	74.97	3	6542
15	241.44	1	1874
15	51.62	1	19459
7	60.0	2	7308
15	46.74	1	20704
19	41.71	1	15063
10	30.0	1	20294
12	78.15	2	4290
7	192.0	7	17040
9	53.2	1	1
20	60.0	1	18125
21	37.0	1	3012
20	51.02	1	3933
16	38.61	2	12961
14	35.73	1	16380
14	37.5	2	24514
9	56.52	7	14264
10	90.0	1	5064
10	136.82	2	4314
9	52.5	2	15473
11	30.0	1	5098
13	30.0	1	18129
19	72.15	1	828
17	40.0	1	1127
20	100.4	1	11906
6	150.0	2	3587
18	105.0	1	14504
6	54.03	1	7322
14	570.0	2	8070
12	30.0	1	27214
17	300.34	1	6800
11	195.0	2	2074
8	120.0	1	24559
6	174.0	1	17276
13	600.0	2	6450
17	200.0	1	24440
11	370.0	2	12010
15	45.0	1	14889
8	55.0	1	84
4	164.92	1	8808
12	311.55	1	14998
16	57.0	1	22498
10	128.31	2	12010
21	80.0	7	16069
21	150.0	7	7587
6	318.35	7	11424
13	35.0	2	26186
12	82.28	1	18569
6	55.0	2	17055
22	114.14	1	15615
22	30.0	1	10708
8	130.0	1	27609
21	60.0	1	26752
21	69.57	2	24550
19	172.38	1	12582
14	30.0	2	10827
14	510.0	1	26258
13	116.88	1	22573
22	190.0	1	506
12	701.88	1	569
19	257.78	1	3431
17	116.49	1	8210
12	30.12	7	10067
13	30.0	3	22113
9	75.72	2	23981
6	73.0	2	9793
8	197.3	2	4195
8	322.92	1	17740
17	100.0	1	1359
17	84.0	2	26881
11	457.84	2	26383
16	206.83	2	16962
22	180.0	1	15088
20	567.48	2	2555
7	44.38	1	16094
23	67.19	8	9605
22	52.94	2	2013
22	35.72	1	815
12	58.59	3	22591
4	80.0	1	15196
22	135.0	7	18609
20	96.21	2	11401
20	50.0	1	5964
13	187.28	2	6073
17	79.44	1	10091
22	90.0	1	19023
12	1093.98	7	17880
15	240.0	7	17725
22	2236.92	1	10899
17	146.0	1	11002
11	466.5	2	26443
16	334.08	1	22628
18	131.43	1	26534
19	1009.77	5	8815
19	96.0	1	7524
11	157.42	1	2895
23	52.5	1	9228
3	157.5	1	7307
14	138.6	1	24019
14	40.0	1	7512
13	210.0	2	6450
14	101.1	1	27608
14	54.92	1	6819
9	97.77	3	6166
8	145.32	2	21381
17	30.0	5	14305
11	625.0	2	25093
19	70.36	1	25105
17	80.05	2	9377
15	193.62	1	11370
8	150.0	1	8548
8	651.04	1	14848
8	453.62	1	9743
5	30.1	1	5287
15	86.9	1	14000
9	120.0	2	18747
9	93.38	1	26614
11	33.28	1	23260
7	105.0	1	23214
13	38.1	1	16905
13	42.12	1	15100
14	55.38	1	23153
20	239.12	2	9709
20	59.5	1	26126
18	221.38	1	22908
20	31.03	1	20075
21	238.38	7	892
21	37.1	1	3933
19	36.93	1	13961
5	130.0	1	7483
18	60.0	1	9975
18	55.0	1	8592
12	170.0	1	16668
18	30.0	7	22512
23	68.68	2	19392
3	153.0	2	25911
11	158.3	1	8369
22	227.34	3	22134
8	103.5	1	27616
14	66.0	1	12049
17	47.92	1	23995
5	123.0	1	9063
15	37.71	1	1811
9	30.0	2	18747
9	330.0	2	23082
9	205.0	2	9352
15	69.81	3	3623
15	140.72	7	7344
6	151.5	1	26275
4	227.52	7	24786
12	213.0	1	14130
21	455.14	1	22154
21	601.6	7	14046
16	275.0	2	17166
16	30.66	1	43
20	50.0	3	13200
13	165.0	2	6603
13	571.28	7	18648
22	30.0	3	10590
12	197.82	2	7767
13	55.0	2	3808
17	306.6	1	726
11	37.5	1	15322
7	32.65	1	20971
14	31.5	1	1401
4	185.5	8	18394
13	195.0	1	7212
17	90.0	1	347
7	90.0	1	1187
6	255.0	2	27078
14	90.0	2	22171
9	120.0	2	5653
14	32.0	1	26263
8	105.0	1	1149
9	255.0	7	6723
14	80.0	2	12427
16	96.0	1	20799
21	124.05	7	14998
10	60.0	2	23879
13	275.49	1	5719
17	270.22	3	10835
14	150.36	7	14393
7	60.0	1	26024
9	52.5	1	23467
22	30.0	2	9128
23	55.0	1	22882
21	60.0	1	19204
21	69.46	2	18883
4	153.0	1	19683
14	135.85	7	23704
5	165.0	7	1513
23	1385.97	7	13624
17	315.82	2	9147
22	30.0	15	25815
13	90.0	2	12468
13	60.0	1	20610
9	354.42	1	24626
15	55.0	2	12193
11	47.98	1	404
20	41.42	1	27731
7	250.0	1	26045
17	327.0	1	1143
14	138.0	2	1327
10	156.52	3	13267
20	234.2	1	21862
23	48.73	2	11982
9	140.0	1	13000
11	66.85	2	16498
13	281.95	3	23283
14	30.0	7	13529
18	30.0	3	11926
12	847.05	2	14050
19	52.13	7	17040
8	150.0	1	6610
16	203.48	7	25608
6	35.88	9	9503
11	111.66	1	15495
14	42.28	7	4053
9	398.52	2	23766
22	277.11	7	2718
12	62.38	1	26924
21	60.0	1	26735
19	75.0	1	1954
8	66.17	1	20714
19	131.5	1	3483
18	249.23	3	22134
22	75.0	6	26130
9	58.64	1	1108
11	57.33	10	20828
16	432.6	6	471
5	393.22	1	2133
5	155.29	1	2302
3	112.0	1	26542
10	152.0	2	24497
12	78.82	7	11727
13	492.5	1	15300
12	200.05	2	27084
12	48.99	7	7158
22	62.52	2	6837
10	210.0	2	25360
11	826.86	1	16102
13	50.12	1	15880
13	36.72	1	20563
15	80.36	1	5133
8	614.0	1	27103
8	30.0	1	25729
15	97.95	1	26418
8	30.0	2	12570
17	45.72	7	2062
8	67.5	1	24430
7	144.99	4	8997
23	210.0	2	9143
6	130.0	1	4131
13	510.0	1	1779
23	50.0	2	14283
14	135.0	2	4831
14	30.0	1	14221
20	60.0	1	15853
17	30.0	2	22167
18	270.0	2	19067
18	75.0	1	13961
13	114.02	2	26113
3	30.0	7	21848
16	200.36	2	11041
9	338.02	2	14058
6	143.78	1	26390
